width, index, mrr_ip, mrr_l2
1, 32, 0, 1.0, 1.0
1, 32, 1, 0.8761917031463071, 0.9898252598982527
1, 32, 2, 0.8459330244333562, 0.9920924574209246
1, 32, 3, 0.6192426505726744, 0.9313262973846914
1, 32, 4, 0.7099176415580777, 0.9227981371712587
1, 32, 5, 0.5249876952206375, 0.8963611825891775
1, 32, 6, 0.6349440717991509, 0.9081914030819142
1, 32, 7, 0.5240718048449727, 0.9054317539718999
1, 32, 8, 0.6590226273993334, 0.9057616552142099
1, 32, 9, 0.5142001232017163, 0.9093041994501848
1, 32, 10, 0.6811925266590296, 0.9168386155612435
1, 32, 11, 0.19779940613307204, 0.9698878372236037
1, 32, 12, 0.9044507971320103, 0.9986728599867286
1, 64, 0, 1.0, 1.0
1, 64, 1, 0.8690886827304135, 0.993474894934749
1, 64, 2, 0.8737721034403185, 0.9970139349701393
1, 64, 3, 0.6765907763748477, 0.9515270009795556
1, 64, 4, 0.7407524810188956, 0.9525068200250681
1, 64, 5, 0.6866230147569935, 0.929658124639357
1, 64, 6, 0.7190580332315674, 0.9393304384180295
1, 64, 7, 0.639165846806205, 0.9494765169947652
1, 64, 8, 0.7173107954431845, 0.9317139065314248
1, 64, 9, 0.6263184084148917, 0.9382437513824375
1, 64, 10, 0.7235009462120539, 0.9402410683764365
1, 64, 11, 0.17238899509597502, 0.9933935286125066
1, 64, 12, 0.9016653763916538, 1.0
1, 128, 0, 1.0, 1.0
1, 128, 1, 0.8499430148484561, 0.9977880999778809
1, 128, 2, 0.8511712610916327, 0.9975669099756691
1, 128, 3, 0.7975257097212197, 0.9833001548330015
1, 128, 4, 0.8149397970418296, 0.9802256138022561
1, 128, 5, 0.7688559634524492, 0.9657439883717256
1, 128, 6, 0.7794791517295222, 0.9640418786404188
1, 128, 7, 0.7365482237529852, 0.9532522829968086
1, 128, 8, 0.775145159604626, 0.9525634341327771
1, 128, 9, 0.6813268445779347, 0.9563813315638134
1, 128, 10, 0.7531153496856221, 0.9522782570227827
1, 128, 11, 0.26513393013011144, 0.9940116059695279
1, 128, 12, 0.9043821952581077, 1.0
1, 256, 0, 1.0, 1.0
1, 256, 1, 0.8762642540678374, 1.0
1, 256, 2, 0.8426343038240713, 0.9993364299933643
1, 256, 3, 0.8167159810419898, 0.9981198849811987
1, 256, 4, 0.8259388415298092, 0.9970139349701393
1, 256, 5, 0.8194449830269666, 0.9954656049546561
1, 256, 6, 0.8274091498709946, 0.9960185799601858
1, 256, 7, 0.780185036459337, 0.9721521787215218
1, 256, 8, 0.7912341178743993, 0.9748396372483963
1, 256, 9, 0.6677106495243217, 0.9609710241097102
1, 256, 10, 0.7407030014984834, 0.9554475937687616
1, 256, 11, 0.32368634567846066, 0.993828798938288
1, 256, 12, 0.9109815569669584, 1.0
2, 64, 0, 1.0, 1.0
2, 64, 1, 0.7881261036926513, 0.9929219199292193
2, 64, 2, 0.7934559799170973, 0.9939172749391728
2, 64, 3, 0.7908706507679873, 0.9866180048661801
2, 64, 4, 0.775117178387253, 0.9882279520965653
2, 64, 5, 0.7608846598130663, 0.9831461117957467
2, 64, 6, 0.7604122712426364, 0.9838973678389736
2, 64, 7, 0.7254805687343396, 0.9886087148860873
2, 64, 8, 0.7815470550957574, 0.9845166998451669
2, 64, 9, 0.5201265400921613, 0.9879451448794515
2, 64, 10, 0.5764373984402512, 0.9905994249059944
2, 64, 11, 0.9940278699402787, 0.99126299491263
2, 64, 12, 0.9890510948905109, 0.9917053749170538
