model, width, index, mrr_ip, mrr_l2
1, 64, 0, 1.0, 1.0
1, 64, 1, 0.8375403551251009, 1.0
1, 64, 2, 0.853644572235674, 1.0
1, 64, 3, 0.8697723298358891, 0.992231638418079
1, 64, 4, 0.8798905367231638, 0.9915254237288136
1, 64, 5, 0.8576699959644875, 0.9668079096045199
1, 64, 6, 0.8754640839386602, 0.9689265536723164
1, 64, 7, 0.8638401264460587, 0.9722810734463277
1, 64, 8, 0.8674030183564082, 0.9689265536723165
1, 64, 9, 0.8435550266588403, 0.9646892655367233
1, 64, 10, 0.8726165254237287, 0.9622175141242937
1, 64, 11, 0.3377116377613191, 1.0
1, 64, 12, 0.9493290960451978, 1.0
3, 64, 0, 1.0, 1.0
3, 64, 1, 0.853682405165456, 1.0
3, 64, 2, 0.8712856470271725, 1.0
3, 64, 3, 0.8785399011299435, 0.9858757062146892
3, 64, 4, 0.8911234245980009, 0.977824858757062
3, 64, 5, 0.8381517199843471, 0.9632263922518159
3, 64, 6, 0.8460913086442747, 0.9698799435028248
3, 64, 7, 0.8114971176174901, 0.9675847457627119
3, 64, 8, 0.8453775273690527, 0.973340395480226
3, 64, 9, 0.8283627977483908, 0.9641596045197741
3, 64, 10, 0.8545264998654829, 0.9609816384180792
3, 64, 11, 0.9788135593220338, 1.0
1n, 64, 0, 1.0, 1.0
1n, 64, 1, 0.7416994552058112, 1.0
1n, 64, 2, 0.7429353309120258, 1.0
1n, 64, 3, 0.6933845109692568, 0.9964689265536724
1n, 64, 4, 0.6949642459706019, 0.9964689265536724
1n, 64, 5, 0.5322623382537491, 0.9932909604519774
1n, 64, 6, 0.5379801660196656, 0.9932909604519774
1n, 64, 7, 0.8814795197740113, 0.996822033898305
1n, 64, 8, 0.8814795197740113, 0.996822033898305
1n, 64, 9, 0.8811844229217111, 0.9957627118644068
1n, 64, 10, 0.8816434624697336, 0.9957627118644068
1n, 64, 11, 0.30808205960699, 0.9989406779661016
1n, 64, 12, 0.9819915254237288, 1.0
4, 64, 0, 1.0, 1.0
4, 64, 1, 0.9090748587570621, 0.9978813559322034
4, 64, 2, 0.895409604519774, 0.9989406779661016
4, 64, 3, 0.9052612994350282, 0.9947033898305084
4, 64, 4, 0.9147069209039548, 0.9936440677966102
4, 64, 5, 0.7273871352697374, 0.9936440677966102
4, 64, 6, 0.8012938332853587, 0.9989406779661016
4, 64, 11, 1.0, 1.0
model, width, index, mrr_ip, mrr_l2
4, 64, 0, 1.0, 1.0
4, 64, 1, 0.7671215286241319, 0.967231638418079
4, 64, 2, 0.7829821306964467, 0.9699858757062146
4, 64, 3, 0.7424063924175264, 0.8421105730427765
4, 64, 4, 0.7430262935060645, 0.8012291498520312
4, 64, 5, 0.7331413822553304, 0.7271576087518884
4, 64, 6, 0.7340162467734728, 0.6987897057454011
4, 64, 7, 0.7349106378151815, 0.6976711729889695
4, 64, 8, 0.7349106378151815, 0.6976711729889695
4, 64, 9, 0.7349106378151815, 0.6976711729889695
model, width, index, mrr_ip, mrr_l2
4, 64, 0, 1.0, 1.0
4, 64, 1, 0.7969594298513789, 0.7674761620206536
4, 64, 2, 0.805114042031415, 0.7607199806258879
4, 64, 3, 0.7770074664843483, 0.6012420163572793
4, 64, 4, 0.6604303888504515, 0.5661637121118053
4, 64, 5, 0.5774223319320295, 0.5355066316676053
4, 64, 6, 0.39432172188824566, 0.4062538075242276
4, 64, 7, 0.24672245606819318, 0.4018523393440943
4, 64, 8, 0.24672245606819318, 0.4018523393440943
4, 64, 9, 0.24672245606819318, 0.4018523393440943
4, 64, 10, 0.24672245606819318, 0.4018523393440943
4, 64, 11, 0.24672245606819318, 0.4018523393440943
4, 64, 12, 0.24672245606819318, 0.4018523393440943
