epoch [10/1000], loss_l2: 0.0780682, mrr_ip: 0.543, mrr_l2: 0.493
epoch [20/1000], loss_l2: 0.0727374, mrr_ip: 0.599, mrr_l2: 0.805
epoch [30/1000], loss_l2: 0.0708103, mrr_ip: 0.646, mrr_l2: 0.903
epoch [40/1000], loss_l2: 0.0684386, mrr_ip: 0.642, mrr_l2: 0.930
epoch [50/1000], loss_l2: 0.0674470, mrr_ip: 0.673, mrr_l2: 0.955
epoch [60/1000], loss_l2: 0.0671449, mrr_ip: 0.682, mrr_l2: 0.966
epoch [70/1000], loss_l2: 0.0654052, mrr_ip: 0.699, mrr_l2: 0.969
epoch [80/1000], loss_l2: 0.0651112, mrr_ip: 0.705, mrr_l2: 0.978
epoch [90/1000], loss_l2: 0.0657010, mrr_ip: 0.736, mrr_l2: 0.980
epoch [100/1000], loss_l2: 0.0643188, mrr_ip: 0.724, mrr_l2: 0.982
epoch [110/1000], loss_l2: 0.0640810, mrr_ip: 0.754, mrr_l2: 0.983
epoch [120/1000], loss_l2: 0.0632004, mrr_ip: 0.755, mrr_l2: 0.986
epoch [130/1000], loss_l2: 0.0637167, mrr_ip: 0.740, mrr_l2: 0.986
epoch [140/1000], loss_l2: 0.0638603, mrr_ip: 0.728, mrr_l2: 0.986
epoch [150/1000], loss_l2: 0.0627287, mrr_ip: 0.752, mrr_l2: 0.987
epoch [160/1000], loss_l2: 0.0625355, mrr_ip: 0.747, mrr_l2: 0.986
epoch [170/1000], loss_l2: 0.0622446, mrr_ip: 0.747, mrr_l2: 0.983
epoch [180/1000], loss_l2: 0.0619504, mrr_ip: 0.756, mrr_l2: 0.985
epoch [190/1000], loss_l2: 0.0627460, mrr_ip: 0.773, mrr_l2: 0.987
epoch [200/1000], loss_l2: 0.0630417, mrr_ip: 0.768, mrr_l2: 0.986
epoch [210/1000], loss_l2: 0.0623109, mrr_ip: 0.765, mrr_l2: 0.985
epoch [220/1000], loss_l2: 0.0622147, mrr_ip: 0.778, mrr_l2: 0.987
epoch [230/1000], loss_l2: 0.0626064, mrr_ip: 0.777, mrr_l2: 0.986
epoch [240/1000], loss_l2: 0.0614079, mrr_ip: 0.771, mrr_l2: 0.986
epoch [250/1000], loss_l2: 0.0615610, mrr_ip: 0.771, mrr_l2: 0.986
epoch [260/1000], loss_l2: 0.0615200, mrr_ip: 0.772, mrr_l2: 0.987
epoch [270/1000], loss_l2: 0.0620466, mrr_ip: 0.759, mrr_l2: 0.988
epoch [280/1000], loss_l2: 0.0612886, mrr_ip: 0.778, mrr_l2: 0.988
epoch [290/1000], loss_l2: 0.0618282, mrr_ip: 0.772, mrr_l2: 0.988
epoch [300/1000], loss_l2: 0.0623806, mrr_ip: 0.780, mrr_l2: 0.989
epoch [310/1000], loss_l2: 0.0617800, mrr_ip: 0.777, mrr_l2: 0.990
epoch [320/1000], loss_l2: 0.0610596, mrr_ip: 0.766, mrr_l2: 0.988
epoch [330/1000], loss_l2: 0.0608488, mrr_ip: 0.786, mrr_l2: 0.988
epoch [340/1000], loss_l2: 0.0616675, mrr_ip: 0.783, mrr_l2: 0.989
epoch [350/1000], loss_l2: 0.0609887, mrr_ip: 0.778, mrr_l2: 0.987
epoch [360/1000], loss_l2: 0.0617700, mrr_ip: 0.787, mrr_l2: 0.988
epoch [370/1000], loss_l2: 0.0607785, mrr_ip: 0.777, mrr_l2: 0.988
epoch [380/1000], loss_l2: 0.0607024, mrr_ip: 0.777, mrr_l2: 0.988
epoch [390/1000], loss_l2: 0.0592222, mrr_ip: 0.785, mrr_l2: 0.988
epoch [400/1000], loss_l2: 0.0613667, mrr_ip: 0.777, mrr_l2: 0.988
epoch [410/1000], loss_l2: 0.0612170, mrr_ip: 0.783, mrr_l2: 0.987
epoch [420/1000], loss_l2: 0.0608365, mrr_ip: 0.791, mrr_l2: 0.989
epoch [430/1000], loss_l2: 0.0611710, mrr_ip: 0.779, mrr_l2: 0.989
epoch [440/1000], loss_l2: 0.0615380, mrr_ip: 0.780, mrr_l2: 0.988
epoch [450/1000], loss_l2: 0.0618143, mrr_ip: 0.775, mrr_l2: 0.987
epoch [460/1000], loss_l2: 0.0619744, mrr_ip: 0.785, mrr_l2: 0.987
epoch [470/1000], loss_l2: 0.0616477, mrr_ip: 0.778, mrr_l2: 0.989
epoch [480/1000], loss_l2: 0.0615189, mrr_ip: 0.787, mrr_l2: 0.989
epoch [490/1000], loss_l2: 0.0606254, mrr_ip: 0.781, mrr_l2: 0.990
epoch [500/1000], loss_l2: 0.0609276, mrr_ip: 0.785, mrr_l2: 0.989
epoch [510/1000], loss_l2: 0.0614870, mrr_ip: 0.777, mrr_l2: 0.991
epoch [520/1000], loss_l2: 0.0619603, mrr_ip: 0.776, mrr_l2: 0.990
epoch [530/1000], loss_l2: 0.0598046, mrr_ip: 0.775, mrr_l2: 0.989
epoch [540/1000], loss_l2: 0.0610301, mrr_ip: 0.783, mrr_l2: 0.988
epoch [550/1000], loss_l2: 0.0612884, mrr_ip: 0.782, mrr_l2: 0.989
epoch [560/1000], loss_l2: 0.0607280, mrr_ip: 0.778, mrr_l2: 0.990
epoch [570/1000], loss_l2: 0.0595638, mrr_ip: 0.786, mrr_l2: 0.988
epoch [580/1000], loss_l2: 0.0608453, mrr_ip: 0.782, mrr_l2: 0.989
epoch [590/1000], loss_l2: 0.0620370, mrr_ip: 0.779, mrr_l2: 0.989
epoch [600/1000], loss_l2: 0.0607297, mrr_ip: 0.781, mrr_l2: 0.989
epoch [610/1000], loss_l2: 0.0608033, mrr_ip: 0.781, mrr_l2: 0.989
epoch [620/1000], loss_l2: 0.0607184, mrr_ip: 0.784, mrr_l2: 0.988
epoch [630/1000], loss_l2: 0.0600171, mrr_ip: 0.775, mrr_l2: 0.988
epoch [640/1000], loss_l2: 0.0606839, mrr_ip: 0.773, mrr_l2: 0.988
epoch [650/1000], loss_l2: 0.0611074, mrr_ip: 0.779, mrr_l2: 0.989
epoch [660/1000], loss_l2: 0.0612187, mrr_ip: 0.770, mrr_l2: 0.990
epoch [670/1000], loss_l2: 0.0610107, mrr_ip: 0.769, mrr_l2: 0.989
epoch [680/1000], loss_l2: 0.0603992, mrr_ip: 0.770, mrr_l2: 0.988
epoch [690/1000], loss_l2: 0.0598801, mrr_ip: 0.774, mrr_l2: 0.989
epoch [700/1000], loss_l2: 0.0612432, mrr_ip: 0.774, mrr_l2: 0.989
epoch [710/1000], loss_l2: 0.0601181, mrr_ip: 0.776, mrr_l2: 0.988
epoch [720/1000], loss_l2: 0.0599448, mrr_ip: 0.777, mrr_l2: 0.989
epoch [730/1000], loss_l2: 0.0608422, mrr_ip: 0.774, mrr_l2: 0.989
epoch [740/1000], loss_l2: 0.0606515, mrr_ip: 0.771, mrr_l2: 0.988
epoch [750/1000], loss_l2: 0.0605169, mrr_ip: 0.771, mrr_l2: 0.989
epoch [760/1000], loss_l2: 0.0607176, mrr_ip: 0.773, mrr_l2: 0.988
epoch [770/1000], loss_l2: 0.0611265, mrr_ip: 0.772, mrr_l2: 0.989
epoch [780/1000], loss_l2: 0.0606986, mrr_ip: 0.776, mrr_l2: 0.989
